,title,aid,bvid
12,【2022LPL夏季赛】9月1日 JDG vs TES,217571139,BV1La411V7o5
13,【2022LPL夏季赛】TES vs JDG 决赛前媒体发布会,472606373,BV1KT411c7fq
16,【2022LPL夏季赛】8月28日 EDG vs TES,387476330,BV1Ed4y197ty
19,【2022LPL夏季赛】8月26日 TES vs JDG,514880572,BV1ug411D7WB
22,【2022LPL夏季赛】8月25日 EDG vs LNG,602451793,BV1NB4y1G7Nq
25,【2022LPL夏季赛】8月23日 JDG vs LNG,217296173,BV1ka41157SQ
28,【2022LPL夏季赛】8月22日 TES vs EDG,984784673,BV1pt4y1n7jE
31,【2022LPL夏季赛】8月21日 V5 vs LNG,599663573,BV1TB4y1z7mK
34,【2022LPL夏季赛】季后赛 8月20日 RNG vs EDG,984627757,BV1vt4y1J7V9
37,【2022LPL夏季赛】季后赛 8月19日 WBG vs LNG,599640825,BV1SB4y1B7Pw
40,【2022LPL夏季赛】季后赛 8月18日 EDG vs FPX,984625162,BV1vt4y1J76y
43,【2022LPL夏季赛】季后赛 8月17日 LNG vs BLG,942064704,BV1vW4y1h7ku
46,【2022LPL夏季赛】季后赛 8月16日 OMG vs FPX,602075477,BV1WB4y1L7cj
47,【2022LPL夏季赛】8月14日 饭堂周末夜,472095421,BV1cT411P7RS
50,【2022LPL夏季赛】8月14日 LGD vs RNG,942008507,BV17W4y1h7Jm
51,【2022LPL夏季赛】8月14日 UP vs WE,644441129,BV1GY4y1c7X1
54,【2022LPL夏季赛】8月13日 AL vs TES,599451773,BV1aB4y167mp
55,【2022LPL夏季赛】8月13日 TT vs RA,216978146,BV1Xa411P7kX
56,【2022LPL夏季赛】8月12日 周末补习班,259411128,BV1Ca411o79y
59,【2022LPL夏季赛】8月12日 WBG vs LNG,899492141,BV1mN4y1G7S5
60,【2022LPL夏季赛】8月12日 IG vs LGD,814428459,BV1sG4y1e75b
63,【2022LPL夏季赛】8月11日 TT vs UP,259398083,BV1Da411o7nq
64,【2022LPL夏季赛】8月11日 WE vs FPX,471948772,BV1NT411A7o2
67,【2022LPL夏季赛】8月10日 IG vs OMG,644308597,BV1GY4y1A7NP
68,【2022LPL夏季赛】8月10日 EDG vs AL,216856295,BV15a411P7Xz
71,【2022LPL夏季赛】8月9日 TES vs V5,344333063,BV1cd4y1K76Q
72,【2022LPL夏季赛】8月9日 LGD vs RA,471821153,BV1XT411L7Zp
75,【2022LPL夏季赛】8月8日 BLG vs WE,216842763,BV13a411P7vF
