,comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback
0,10760,171,2143850,http://i1.hdslb.com/bfs/archive/16571afaff45bbc67d2f6cec99595cf1798042e3.jpg,,S12全球总决赛LPL出征仪式！,1,S12全球总决赛LPL出征仪式！,0,哔哩哔哩英雄联盟赛事,50329118,1662303916,11:38,24960,602635128,BV1QB4y1G746,False,0,0,0,0
1,17513,171,2696133,http://i0.hdslb.com/bfs/archive/de37e66afdfa9ecfb929d23ef2443b23ae6837ef.jpg,,【S12资格赛】9月4日 RNG vs LNG,1,【S12资格赛】9月4日 RNG vs LNG,0,哔哩哔哩英雄联盟赛事,50329118,1662287580,380:43,42798,900243053,BV1SP4y1o7xn,False,0,0,0,0
2,269,171,85395,http://i0.hdslb.com/bfs/archive/755c53503a8355f37284047fa906f246f9a813c5.jpg,,【LPL夏季赛TOP5】9月3日：无尽雷火杀四方 不灭金刚腾云出,1,【LPL夏季赛TOP5】9月3日：无尽雷火杀四方 不灭金刚腾云出,0,哔哩哔哩英雄联盟赛事,50329118,1662219256,04:54,97,772662994,BV1314y1s7Lo,False,0,0,0,0
3,173,171,89117,http://i2.hdslb.com/bfs/archive/35504bc864ebe7f79adc5661bc9aacee6a37e800.jpg,,2022联盟嘉年华云顶之弈&金铲铲之战表演赛,1,2022联盟嘉年华云顶之弈&金铲铲之战表演赛,0,哔哩哔哩英雄联盟赛事,50329118,1662219212,115:24,664,645225769,BV19Y4y1T71Q,False,0,0,0,0
4,359,171,108483,http://i2.hdslb.com/bfs/archive/ae704f23dd527d605946228b91c072c3a3015f52.jpg,,【LPL赛事速看】资格赛D2:V5一比三不敌LNG，无缘世界赛,1,【LPL赛事速看】资格赛D2:V5一比三不敌LNG，无缘世界赛,0,哔哩哔哩英雄联盟赛事,50329118,1662216944,21:29,499,260169399,BV1me411g7q1,False,0,0,0,0
5,6607,171,954343,http://i2.hdslb.com/bfs/archive/7d87a131143e1fb9b653e4434fe722cdbe6259a5.jpg,,【S12资格赛】9月3日 LNG vs V5,1,【S12资格赛】9月3日 LNG vs V5,0,哔哩哔哩英雄联盟赛事,50329118,1662201815,274:16,9055,645135636,BV1TY4y1g7SA,False,0,0,0,0
6,3445,171,924317,http://i0.hdslb.com/bfs/archive/1bc4d27fcd2609419d4acdc9b6d5b5a7a8607ec4.jpg,,英雄联盟嘉年华-明星表演赛,1,英雄联盟嘉年华-明星表演赛,0,哔哩哔哩英雄联盟赛事,50329118,1662131035,150:57,29274,345196389,BV1fd4y1G7F4,False,0,0,0,0
7,406,171,183189,http://i1.hdslb.com/bfs/archive/9d1b93f075c74f31a96bc42e1bba143ec34c8d25.jpg,,【LPL赛事速看】资格赛D1：EDG让二追三击败RNG 晋级S12全球总决赛,1,【LPL赛事速看】资格赛D1：EDG让二追三击败RNG 晋级S12全球总决赛,0,哔哩哔哩英雄联盟赛事,50329118,1662130934,21:05,1037,560237073,BV1se4y1h7qv,False,0,0,0,0
8,209,171,82516,http://i1.hdslb.com/bfs/archive/722f81b1bd2e20e75ac5ce2ab7b9faf000298817.jpg,,【S12资格赛TOP5】9月2日：滔天鳄霸翻江海 磐石皆转命如织,1,【S12资格赛TOP5】9月2日：滔天鳄霸翻江海  磐石皆转命如织,0,哔哩哔哩英雄联盟赛事,50329118,1662130621,03:30,95,560155091,BV1he4y1Y759,False,0,0,0,0
9,15241,171,2289426,http://i2.hdslb.com/bfs/archive/a18154c53f314334b1b7c6500bad0d19a57799cd.jpg,,【S12资格赛】9月2日 EDG vs RNG,1,【S12资格赛】9月2日 EDG vs RNG,0,哔哩哔哩英雄联盟赛事,50329118,1662111516,308:03,62560,645160930,BV1eY4y1T7pe,False,0,0,0,0
