排名,球员名,出手数
1,卡里姆-贾巴尔,15837
2,卡尔-马龙,13528
3,科比-布莱恩特,11719
4,勒布朗-詹姆斯,12424
5,迈克尔-乔丹,12192
6,埃尔文-海耶斯,10976
7,约翰-哈福利切克,10513
8,德克-诺维茨基,11169
9,威尔特-张伯伦,12681
10,多米尼克-威尔金斯,9963
11,文斯-卡特,9293
12,凯文-加内特,10505
13,卡梅罗-安东尼,9426
14,阿历克斯-英格利什,10659
15,哈基姆-奥拉朱旺,10749
16,蒂姆-邓肯,10285
17,埃尔金·贝勒,8693
18,阿伦-艾弗森,8467
19,奥斯卡-罗波特森,9508
20,保罗-皮尔斯,8668
21,沙奎尔-奥尼尔,11330
22,帕特里克-尤因,9702
23,摩西-马龙,9435
24,杰里-韦斯特,9016
25,雷-阿伦,8567
26,豪尔-格瑞尔,8504
27,加里-佩顿,8708
28,罗波特-帕里什,9614
29,乔-约翰逊,7822
30,克莱德-德雷克斯勒,8335
31,德维恩-韦德,8454
32,雷吉-米勒,8241
33,拉里·伯德,8591
34,安托万-贾米森,7679
35,克里弗德-罗宾逊,7389
36,鲍勃-佩蒂特,7349
37,特里-卡明斯,8045
38,鲍勃·库锡,6168
39,贾马尔-克劳福德,6750
40,拉塞尔-威斯布鲁克,7194
41,埃迪-约翰逊,7727
42,盖尔-古德里奇,7431
43,里克-巴里,7252
44,拉玛库斯-阿尔德里奇,7919
45,米奇-里奇蒙德,7305
46,伊塞亚-托马斯,7194
47,沃尔特-戴维斯,8118
48,凯文-杜兰特,7814
49,托尼-帕克,7777
50,扎克-兰多夫,7436
51,戴夫-宾,6962
52,汤姆-钱伯斯,7378
53,乔治-格文,8045
54,保罗-加索尔,7980
55,斯科蒂-皮蓬,7420
56,查尔斯-巴克利,8435
57,杰森-特里,6914
58,杰森-基德,6219
59,多尔夫-谢伊斯,5863
60,特雷西·麦克格雷迪,6709
61,沃尔特-贝拉米,7914
62,达勒-艾利斯,7323
63,卢-哈德森,7392
64,阿德里安-丹特利,8169
65,伯纳德-金,7830
66,迈克尔-芬利,6696
67,鲍伯-兰尼尔,7761
68,肖恩-马里昂,7289
69,凯尔文-墨菲,7247
70,克里斯-韦伯,7192
71,雷杰-瑟乌斯,7057
72,厄尔-门罗,6906
73,格伦-莱斯,6776
74,马克-阿吉雷,7201
75,鲍伯-麦克阿杜,7420
