用户,转发数,评论数,点赞数,评论
EDG电子竞技俱乐部,704,521,7183,「📹」221027·Jiejie赵礼杰生日  切蛋糕现场来了！一起补吹个蜡烛吧！  EDG#为爱而聚，E起前进# EDG电子竞技俱乐部的微博视频 
RNG电子竞技俱乐部,30,227,1360,#NEST2022# NEST2022英雄联盟线上预选赛抽签结果和赛程新鲜出炉啦！RNG战队分至C组，同组对手EDG战队、LGD战队。  坚持热爱，迎接挑战，RNG加油！  #RNG# #永不言弃，九九归R# 
sTillee-,91,42,442,Meiko你怎么可以这样 笑容打败太阳cr EDG sTillee-的微博视频 
上海EDGM王者荣耀分部,6,69,365,【上海EDG.M王者荣耀分部人员变动公告】||博仔开心的宣布，此前租借至@万臻Wz电子竞技俱乐部 的靖风，正式回归上海EDG.M大家庭，接下来和我们一起备战世冠！[打call]|选手赵瑞（ID：上海EDGM.靖风@上海EDGM靖风 ）在积累更多的赛场经验以及丰富磨练意志后归来，我们相信他E定可以绽放更强的光芒和力量 ​
_千莫_,13,17,44,#英雄联盟[超话]##s12电竞同人##cos# |EDG冠军佐伊：千莫|摄像：小命|剪辑：千莫|q技能特效感谢@阿拉德的小少年 ||再回首，去年的EDG是真的披荆斩棘。踏三星，斩DK，在没有人看好他们的情况下，是他们自己对得起自己。|蓝色的雨，永远热血，永远热泪盈眶。|S12的鲜血能在S13开成鲜花吗。|骑士之心，永 ​
Fireloli赵志铭,541,610,2505,周末有幸参加 @奥地利RedBull X EDG ‘做自己的玩家’ 上海主题路演活动；第一次看完了兄弟们的挑战演出视频，还亲身体验了一把，雀食有点意思。 再次感谢RED BULL品牌方的邀请，以及对EDG战队一如既往的支持；也欢迎各路小伙伴们一起加入这场主题巡演活动，赢取丰厚周边~ 11月4日-6日，上海长宁来福士 ...全文
英雄联盟神吐槽,37,130,921,【EDG-Uzi正在连接？厂长出面劝说UZI】  有关Uzi复出的消息在世界赛刚开打的时候就有爆料，先给大家总结一下时间线再说厂长出面劝说Uzi这件事，今年有关Uzi复出的最新消息是世界赛刚开始，当时很多知名圈内人士都爆料有几个俱乐部想买Uzi，紧接着Uzi韩服排位快速冲分，其次婷婷发文称Uzi血糖恢复正常， ...全文
召唤师Park,32,53,243,或许是因为S12决赛没有LPL队伍，2022LPL冬季转会期的关注度持续攀升，EDG冠军下路Viper和“LPL本土选手”Scout合同到期在即，而老岳和涵艺的爆料，让Viper、Scout去向更加悬念重重。  止步S12全球总决赛后，Viper早早回到国内，包括DK、KT、NS在内的多支LCK队伍与之接触，对此EDG爱德朱表示已经把钱给 ...全文
Score赛高,4,23,100,【@EDG电子竞技俱乐部  2022NEST赛事出战名单】  教练：VITO 刘峰宇   上单：SOLOKILL 麦富强 上单：XIAOYU 周宇   打野：MONKI 王梦齐   中单：FISHER 李淨太 中单：CYKU 陈锦坤   ADC：LEAVE 胡洪超   辅助：XIAMU 王永旭  #EDG官宣FISHER加入# #NEST2022#EDG 
杭州LGD大鹅,398,673,12683,#张角加入LGD#  【杭州LGD大鹅人员变动公告】  很高兴向大家正式宣布，原@成都AG超玩会 主教练周宇 （ID：杭州LGD大鹅.张角）@张张角角角 现正式加入杭州LGD大鹅教练组，担任主教练一职。  张角教练作为拥有丰富KPL执教经验的资深教练，曾任教于成都AG超玩会、上海EDG.M等多个战队，拥有丰富的赛训管理 ...全文
