用户,转发数,评论数,点赞数,评论
JDG京东电子竞技俱乐部,58,76,965,【赛场集锦】  「S12世界赛赛场返图Part 3」📷  抖落一组京人可爱pose照，我京镜头感十足 提问环节：大家拍照时都常用哪位选手摆出的造型？  #坚定你所相信#JDG 
JDG_Missing,18,76,381,#微博头像挂件# Make It Real，坚定你所相信！我正在使用“JDG”会员专属头像挂件，一起为JDG加油打气，你也快带上吧！ 头像挂件：S12-JDG 
英雄联盟手游赛事,2114,2344,6993,#陈卓璇WRL舞台首秀#特邀歌手@陈卓璇 为JDG、FPX两支战队加油助威！期待各位选手赛出风格，为观众们带来一场视觉盛宴！同时，她将在#WRL2#全新演绎《破晓来时》，今晚19:00，让我们一同期待！英雄联盟手游赛事 英雄联盟手游赛事的微博视频 
JoKer874,22,77,603,分析了一些战术和操作上关键的地方，明年争取卷土重来，LPL加油！[二哈]|#英雄联盟s12##2022全球总决赛##S12赛评团##jdg对战t1# http://t.cn/A6oOHa3J ​
虎扑电竞,6,18,150,【JDG电子竞技俱乐部发布J-Log：369的摇号系统】||河道剑魔/赛季纳尔/抗压酒桶|队伍开心果/气氛调节剂/人间感冒灵||这里没有他的名字|但却能从每一个词中看到他的影子|在奥恩召唤而来的雷霆闪电中|我们见证他的传说|轮到你了 999||“我可以接受失败，但是没有害怕过”||cr.JDG电子竞技俱乐部|| ​
玩加电竞LOL,0,16,85,【JDG发布选手日常：选手已安全抵达国内】  @JDG京东电子竞技俱乐部 ： 报告！前方选手已安全抵达国内 兄弟们一切行程平安顺利，请大家放心  #英雄联盟S12# #2022全球总决赛# 
游久电竞,0,0,0,【NEST2022英雄联盟线上预选赛选手大名单】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#NEST2022# #FPX一队出战NEST# 
虎扑电竞,5,25,203,【JR热议】全部淘汰！世界赛前管泽元心中TOP10选手，没有一人进入到决赛在世界赛开始前的《米勒赛事速递》节目中，解说管泽元给出了自己心中的S12选手排行TOP10，上榜的选手分布于GEN、TES、JDG、EDG四支战队中。1.Ruler2.Tian3.Peanut4.Kanavi5.Chovy6.3697.Lehends8.Jackeylove9 ...全文
疾风怪宝,0,17,23,【NEST2022英雄联盟预选赛将于11月10日至11月15日在线上举行】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#S12竞燃有我##超话创作官# 
大电竞eSportsFocus,0,3,13,#NEST2022# NEST2022英雄联盟线上预选赛即将于11月10日与大家见面，当序幕拉开，英雄登场，将会呈现怎样的精彩？预选赛赛程：2022年11月10日至11月15日队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分为四个小组，每组进行 ...全文
小鱼不爱吃鱼38324,0,0,0,zzr 我还以为zzr去jdg了呢 
本就张扬古怪,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 S6入坑到S12 也算是见证了lpl一步步成长到现在，虽然这次rng和edg都饮恨八强 但还有jdg这一线希望，jdg加油 ，把S12的冠军奖杯继续留在lpl。 
英雄联盟特长生资讯,0,5,3,2022全球总决赛将于北京时间11月6日早上8点迎来巅峰对决，T1、DRX强强对话冲击冠军!近日英雄联盟赛事数据官博统计了S12淘汰赛阶段的选手、战队、英雄最数据：最多单杀选手——DRX.Zeka(7次);血腥程度最高战队——T1，第二、三名是JDG、RNG。#英雄联盟##2022全球总决赛# 
LOLM电竞糕校生,0,0,0,#WRL2#第二届英雄联盟手游职业联赛 常规赛第一阶段W3D4 #NV击败WHG#@NOVA英雄联盟手游分部 获胜赛后采访：@Yami1· @子琪Michelle_ ：”今天NaiDI用恐怖如斯形容你，为什么今天阿利斯塔发挥的这么好？”NV.yami：“昨天看JDG打FPX，Doki玩的阿利斯塔，感觉我牛瘾犯了，手感挺不错的。” ...全文
Plutoless,0,0,0,哇，英文流开头还会介绍选手生涯。打JDG这场就介绍的姑妈在k杯打韩华拿了MVP，感觉好用心啊……还介绍了lol the next这个节目里的T1选手们。还讲了一点去年转会期的小故事，真好。附一张出场场次的对比2333感觉英文流好喜欢369哥诶，还有很多页的小绘本，卡瓦！！真的很喜欢英文流……怎么说呢，谢 ...全文
Score赛高,3,13,41,【2022NEST出战大名单】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#FPX一队出战NEST##NEST2022#  英雄联盟 
虎扑电竞,1,6,12,【NEST预选赛A组选手名单：仅BLG有一队参加，其余均为二队】A组：AL、BLG、iG、JDG#NEST2022# #英雄联盟# 
本就张扬古怪,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 历经11年LPL走到现在真的很不容易！加油！此志无双！经历过磨难之后才能成就一把锋锐无比的利剑！祝愿中国队再次夺冠，JDG加油，你们一定行！ 
意慾掠夺后,0,0,0,四分之一决赛应该是跟jdg和T1打的训练赛，虽然我感性上支持drx，但是感觉明天应该是T1夺冠了。 
