用户,转发数,评论数,点赞数,评论
RNG电子竞技俱乐部,30,227,1360,#NEST2022# NEST2022英雄联盟线上预选赛抽签结果和赛程新鲜出炉啦！RNG战队分至C组，同组对手EDG战队、LGD战队。  坚持热爱，迎接挑战，RNG加油！  #RNG# #永不言弃，九九归R# 
DOTA2,31,225,1117,RNG战队的一号位选手Ghost和五号位选手xNova发文宣布找队，声称愿意去任何赛区。 Ghost在2022年5月4日加入中国战队RNG， xNova的生涯先后效力于PSG.LGD、EHOME和RNG等多支中国俱乐部，他曾跟随PSG.LGD获得过TI8的亚军。21年的11月份，他与前队友Maybe、Chalice一同加盟了RNG战队，并参加了TI11的比赛， ...全文
燕辞君,13,69,460,八音盒已经出现了人传人的现象，昨晚S赛，RNG对阵T1第三局，官方解说都在用：把每一把都当做最后一把打，然后也不要怕输#ti11浪淘狮城##ti11##dota2# 燕辞君的微博视频 
东北大鹌鹑,4,29,169,单说第二把，剑姬单带就应该赢了。——东北大鹌鹑 #东北大鹌鹑[超话]# #RNG# http://t.cn/A6oS2t4E ​
游戏小柒,1,33,82,在RNG无缘S12四强后，队内打野Wei泪撒赛场！看得出Wei已经尽力了，心疼#Wei哭了# http://t.cn/A6oaoAl8 ​
T1电子竞技俱乐部,341,470,3163,【2022全球总决赛 赛事语音】 VS RNG #Aim1st##为T1加油# T1电子竞技俱乐部的微博视频 
游久电竞,0,0,0,【NEST2022英雄联盟线上预选赛选手大名单】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#NEST2022# #FPX一队出战NEST# 
玩加电竞LOL,1,7,32,【#2022全球总决赛# Worlds 零时差】历史记录：在RNG vs T1的第一局比赛中，Ming使用泰坦在前21分钟没有造成任何伤害。同时，RNG深海泰坦的胜率为0%。#英雄联盟S12# #S12决赛# 
虎扑电竞,0,10,18,【NEST预选赛C组名单：LGD全一队，RNG全二队，EDG两位04中单】C组：LGD、RNG、EDG#NEST2022# #英雄联盟# 
柒是琪柒的柒,0,1,33,rng真的很希望明年还是这5个人再战一次朱开：我很感谢大家，最后大家没有任何怨言，没有任何的“不愿意去练”或者“嫌苦嫌累”poppy：不可以用换人去解决问题-by藤井纪录片预告PS：甩锅拆队骂选手的人真的毫无竞技精神 
疾风怪宝,0,13,40,震惊！RNG S13阵容竟然提前泄露！#S12竞燃有我##超话创作官# 
英雄联盟菌,0,0,0,世界赛饭堂：DRX挺进决赛后谁最有话说？A、入围赛被暴打的RNGB、让二追三失败的DKC、被DRX让二追三的EDGD、和DRX同组的TESE、管泽元#T1对战DRX##管泽元# 
PokerHeart-ColdStone,0,0,1,rngGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALAGALA@阿卡丽的死忠粉 
为了长高而喝牛奶,0,3,1,rng央视和拼多多那个进博会的美妆东西能买吗，便宜太多了 
白藏十月,0,13,21,rng随手发几张今天照片刚出来。月底要结婚了 
电竞姬,0,0,1,网友整活：当RNG上单是这些选手时！#英雄联盟# 
羊羽木辛,0,7,7,rng 如果明天是rng比赛的话，可能今天会一直坐立难安，心跳加速吧。（现在就感觉s12啥也不是 
涩谷小企鹅,0,0,0,rng 小黑子是吧？ 北京·鸡坤茶室(三里屯店) 
RNG电子竞技俱乐部,30,227,1360,#NEST2022# NEST2022英雄联盟线上预选赛抽签结果和赛程新鲜出炉啦！RNG战队分至C组，同组对手EDG战队、LGD战队。坚持热爱，迎接挑战，RNG加油！#RNG# #永不言弃，九九归R# 
遇见光阿,0,13,2,rng 今年年初算是分手了，不过有一直接着聊天，大概陆陆续续聊到9月份，突然是不想和我接着聊了，就很突然，然后认识1000天送了礼物，让她发个照片给我，她说和我聊天太有压迫感，甚至说出这种话，好难过。 
xia0huOuO,0,10,26,rng刚看到超话有人说老万是想留下来的，实在不行的话RNG粉丝众筹吧 
dawn回首阑珊,0,65,149,rng黑小虎的是组团的吗？ 简直了，真的是无时无刻不报团出现 
wxwwkyyg,0,12,101,EDG 闲来无聊看大b老师，结果说到他之前排位被一个rng前青训喷说要找律师啥的他很懵，结果不知道是乐言还是huanfeng说看到一个弹幕：rng人人懂法。结果直播间炸了，满屏的哈哈哈哈哈哈哈这都能找到乐子。 
本就张扬古怪,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 S6入坑到S12 也算是见证了lpl一步步成长到现在，虽然这次rng和edg都饮恨八强 但还有jdg这一线希望，jdg加油 ，把S12的冠军奖杯继续留在lpl。 
英雄联盟特长生资讯,0,5,3,2022全球总决赛将于北京时间11月6日早上8点迎来巅峰对决，T1、DRX强强对话冲击冠军!近日英雄联盟赛事数据官博统计了S12淘汰赛阶段的选手、战队、英雄最数据：最多单杀选手——DRX.Zeka(7次);血腥程度最高战队——T1，第二、三名是JDG、RNG。#英雄联盟##2022全球总决赛# 
胆小猎人x,0,5,0,rng不懂就问NEST是什么比赛啊？ 
枬珣,1,2,4,rng 第一次获得这个成就！ 
Score赛高,3,13,41,【2022NEST出战大名单】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#FPX一队出战NEST##NEST2022#  英雄联盟 
NEST全国电子竞技大赛,6,16,20,#NEST2022# NEST2022英雄联盟线上预选赛【选手名单】C组：LGD、RNG、EDG#福建晋江# 
prettystarlove7,0,12,66,"EDG 一个冷知识，EDG还没拿过NEST的冠军这届也挺难的，LGD,WE,TT上一队了，FPX也几乎一队，都来打身价是吧EDG分在c组，只会淘汰一支队伍，希望能打赢RNG多拿积分，打LGD的lpl阵容赢了说明厉害，血赚不亏，输了也比较正常希望年轻的小伙子们能够往后面打，场次越多越好，磨练心 ...全文"
虎扑电竞,0,21,113,【世界赛老黄历】即速回蓝，放肆开燃！Xiaohu满蓝飞机收割团战!世界赛决赛赛即将拉开序幕，美孚速霸™陪伴每一段电竞逐梦之旅！即速回蓝，放肆开燃！今日虎扑电竞世界赛老黄历是S7 Xiaohu满蓝飞机收割团战，满状态打出持续伤害，JRs还记得S赛上团战持续打伤害的Carry？S7全球总决赛四强赛RNG对阵 ...全文
睡觉就睡觉不要动手动脚,0,0,0,rng突然想到wei说过陪xiaohu打到退役，那wei去了别的队把xiaohu抓到退役应该也算吧？ 
大电竞eSportsFocus,0,3,13,#NEST2022# NEST2022英雄联盟线上预选赛即将于11月10日与大家见面，当序幕拉开，英雄登场，将会呈现怎样的精彩？预选赛赛程：2022年11月10日至11月15日队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分为四个小组，每组进行 ...全文
再看最后一年RNG,0,1,2,rng都来晒一下自己的小宠物，这是我家子墨 
菜花终极定理,0,29,30,rng今天轮到我生日辣，本来妄想过这天可以通个宵迎接我们的决赛的。也是世事无常吧，希望明年是好运rng！也希望今年可以上岸 
你的李嘉图HuCe,0,18,0,rng我宣布VN这英雄前期太难打了，如果熟练度不高，这英雄玩起来好折磨 
疾风怪宝,0,17,23,【NEST2022英雄联盟预选赛将于11月10日至11月15日在线上举行】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#S12竞燃有我##超话创作官# 
babeoo666,0,6,14,rng耶耶耶 谢谢金主爸爸@惠普精灵联盟 
Esports澜,0,4,6,英雄联盟#英雄联盟s12# 因为转会期就快要到了，所以这两天各种流言也都开始起来了。目前来看，大部分观众还是比较关注RNG和TES多一点，因为RNG有首发阵容要崩的流言，TES则是有中单knight离队的流言，这些选手基本都算得上是大鱼，自然就吸引了很多人的关注。而就在不久前，又有几条最新的流 ...全文
丝路电竞,0,0,0,#NEST2022# 赛制&amp;赛程预选赛赛程：2022年11月10日至11月15日 队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分为四个小组，每组进行【BO2】单循环积分赛，2:0 胜者积3分、败者不积分，1:1各积1分。线上预 ...全文
EnkagigitaBirdo,0,0,0,我都能和rng和解了 老天为什么不能和我和解 
玩加电竞LOL,17,69,377,【NEST2022英雄联盟线上预选赛选手大名单】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#NEST2022# #FPX一队出战NEST# 
超话社区,3,8,64,S12英雄联盟世界赛#超话创作官#第四期出炉啦告诉大家一个小秘密㊙️：电竞#超话创作官# @英雄联盟TOP1在10月份期间实现了11.9万的粉丝增长！这粉丝增长的速度就是本超话君也羡慕不来呀！接下来，一起去看下电竞大神在 ...全文
十二AkihiEcho,0,15,8,rng有没有家人知道小黄人啥时候能打比赛啊，很久之前就觉得这哥们老猛了，不晓得比赛打得咋样 
搞怪机智的肥mo,0,0,1,rng 每日医学科普（19/x）留在顶级三甲医院工作的基本要求本科五年学术型/专业型硕士三年学术型/专业型博士三年住院医师规范化培训三年（专业型可省去）国家自然科学基金青年项目路阻且长 当砥砺前行 上海·上海交通大学医学院附属瑞金医院 
甘露寺扫地美女,0,37,176,rng 诚心诚意的发问 如果rng真散伙了 以后谁给黑子背锅 营销号怎么恰饭捏 
一块坏掉的榴莲芝士,0,0,0,谁的可爱小熊啊我被RNG蛊惑啦 
叫我GaLa8_,0,3,13,rng S13新赛季阵容官宣了 
玩加电竞LOL,0,20,60,【2022全球总决赛淘汰赛 战队&amp;英雄最数据】最高一血率：RGE &amp; RNG &amp; DRX最高峡谷先锋控制率：JDG最高小龙控制率：RGE最高一塔率：DK最高纳什男爵控制率：T1最高血腥程度：T1最高Ban率英雄：悠米 &amp; 凯特琳最高Pick率英雄：佛耶戈最高胜率英雄：千珏 &amp; 永恩#S12淘汰赛# #英雄联盟S12# 
琴女你怎么骂人啊,0,6,5,NEST2022英雄联盟线上预选赛选手名单队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX预选赛赛程：2022年11月10日至11月15日英雄联盟#NEST2022# 
吐槽帝逍遥先森,0,0,1,#酷爽冬游季##游戏先锋团##s12竞燃有我# 【2022全球总决赛淘汰赛 选手最数据】最多单杀：DRX.Zeka最高分均伤害：EDG.Scout最高场均参团率：DRX.BeryL最高场均对线经济差：DK.Canyon最高分均补刀：RNG.GALA最高场均视野得分：RNG.Ming 
很孤独的宇,0,18,11,rng大千世界无奇不有 
虚假的二十二_OuO,0,0,0,rng两家抢打野和ad的对手退出了，目前看来。就剩wbg了，白星，你的米呢？能不能给力点啊！另外评论区有人说桃的管理好像谈了韩援才回来的 
