用户,转发数,评论数,点赞数,评论
FPX电子竞技俱乐部,405,282,2860,"fpx FPX电子竞技俱乐部 #NEST2022# 出征名单 我们将在11月14日迎来D组首战！新征程在即，大家加油  小组赛赛程： 11.14 15:30 TT vs FPX 11.15 15:30 TES vs FPX #信念不熄,热爱当燃# "
滔搏电子竞技俱乐部,24,125,1519,#TES公益行动#前方高萌！可爱多出没请注意  点开视频解锁宠物领养日志愿者一日体验，来和@滔搏zhuo @Xiaopeng1201 一起传递爱心，以领养代替购买，为流浪的猫猫狗狗找到一个温暖的家  #搏至无憾# 滔搏电子竞技俱乐部的微博视频 
靠谱电竞,1,25,62,你认为今年哪场对决最可惜？A：T1 vs RNGB：DRX vs EDGC：GEN vs DKD：GAM vs TES#2022全球总决赛##英雄联盟S12# 靠谱电竞的微博视频 
LPL赛事没品图,3,5,75,DRX继续追梦，RNG，TES还在上分~||#LPL热饭开锅##英雄联盟S12##S12决赛# http://t.cn/A6oHDem9 ​
奥加电竞,1,6,84,【德云色：BLG真的在聊GALA 但他本人好像想留队 JKL确定续约了】||近日前职业选手笑笑、西卡开启直播，在直播中笑笑、西卡向观众透露：JackeyLove确定续约TES，BLG这边真的在聊GALA，但他本人好像想留队，钱给差不多就留下来！||#2022LOL冬季转会期# #2022LPL# http://t.cn/A6oYHgqv ​
NEST全国电子竞技大赛,104,32,160,#NEST2022# NEST2022英雄联盟线上预选赛  【选手名单】  D组：TT、TES、FPX  #福建晋江# 
英雄联盟菌,0,0,0,世界赛饭堂：DRX挺进决赛后谁最有话说？A、入围赛被暴打的RNGB、让二追三失败的DKC、被DRX让二追三的EDGD、和DRX同组的TESE、管泽元#T1对战DRX##管泽元# 
虎扑电竞,5,25,202,【JR热议】全部淘汰！世界赛前管泽元心中TOP10选手，没有一人进入到决赛在世界赛开始前的《米勒赛事速递》节目中，解说管泽元给出了自己心中的S12选手排行TOP10，上榜的选手分布于GEN、TES、JDG、EDG四支战队中。1.Ruler2.Tian3.Peanut4.Kanavi5.Chovy6.3697.Lehends8.Jackeylove9 ...全文
大电竞eSportsFocus,1,13,48,【#2022全球总决赛# Worlds零时差】网友提问：LPL四个战队没有一个会用女警体系，这是为什么？是因为我们赛区就只会“打团”这一种胜利方式吗？管泽元反驳：TES实际上是LPL女警体系使用最好的队伍之一。#英雄联盟S12# #热爱无时差# 
_S_soya,0,2,2,#2022全球总决赛##英雄联盟s12##T1对战DRX#大致回顾了一下DRX今年的壮举:常规赛，9-9搭上季后赛末班车季后赛，1-3输给LSB止步第一轮冒泡赛，先3-2赢KT，再3-2赢LSB勉强成为LCK四号种子入围赛，赛区原因纯纯降维打击无悬念5-0全胜小组第一出线小组赛开始，第一轮输RGE，第二轮输TES，与RGE4-2同分 ...全文
玩加电竞LOL,5,19,122,【#2022全球总决赛# Worlds 零时差】韩网热评：说T1＞LPL还为时尚早，还没有赢TES#英雄联盟S12# #S12决赛# 
TallRich115,0,0,0,EDGTES这次比赛的打野xiaofang是不是抖音那个小方QAQ啊？单纯问一下，不妥删。 
疾风怪宝,0,17,23,【NEST2022英雄联盟预选赛将于11月10日至11月15日在线上举行】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#S12竞燃有我##超话创作官# 
Esports澜,0,4,6,英雄联盟#英雄联盟s12# 因为转会期就快要到了，所以这两天各种流言也都开始起来了。目前来看，大部分观众还是比较关注RNG和TES多一点，因为RNG有首发阵容要崩的流言，TES则是有中单knight离队的流言，这些选手基本都算得上是大鱼，自然就吸引了很多人的关注。而就在不久前，又有几条最新的流 ...全文
丝路电竞,0,0,0,#NEST2022# 赛制&amp;赛程预选赛赛程：2022年11月10日至11月15日 队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分为四个小组，每组进行【BO2】单循环积分赛，2:0 胜者积3分、败者不积分，1:1各积1分。线上预 ...全文
i手游叔,0,0,2,【曾在S12世界赛上用死歌战胜TES的GAM打野Levi近日更推】我与GAM的合约将于2022年11月21日结束。仍在与GAM商谈未来，不过他们允许我去探索其它选择。我想寻找一些来自大赛区的交易。Cr lollevi97 tw#2022外赛区转会期##打野Levi寻求大赛区合约##英雄联盟# 
茶里茶气鹿小怂,0,0,1,tes.jackeylove我不可但是jackeylove.tes完全可以接受 
三连游戏君,3,6,44,RNG、EDG、TES、JDG，从#英雄联盟S12#回来的四支队伍进入静默期 
琴女你怎么骂人啊,0,6,5,NEST2022英雄联盟线上预选赛选手名单队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX预选赛赛程：2022年11月10日至11月15日英雄联盟#NEST2022# 
虎扑电竞,0,7,17,【NEST预选赛D组选手名单：FPX全一队，TT半一队，TES晴天领衔】D组：TT、TES、FPX#NEST2022# #英雄联盟# 
超级无敌帅机智儿,0,0,3,王鹤棣#王鹤棣##王鹤棣你好星期六# 💜💜💜Vous êtes perdu mais ne savez pas commentrevenir你是迷途 但不知返 
直播吧电竞,0,0,2,#NEST2022# NEST2022英雄联盟线上预选赛即将于11月10日与大家见面，当序幕拉开，英雄登场，将会呈现怎样的精彩？预选赛赛程：2022年11月10日至11月15日 队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分 ...全文
无糖可乐勇闯天涯,0,0,7,ucal哥天才中单出道 听说tes中单也是因为宝宝锁被ban的超级大腿 检验阳杰宝宝的时刻又来咯 
电竞召唤师,13,18,183,网传 TES 已经和 Jackeylove 续约，你觉得 TES 明年 S13 会继续打入 S 赛吗？ 杭州 
超凡电竞LOL,4,14,132,【NEST战队&amp;大名单：#FPX一队出战NEST#】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#NEST2022#  #英雄联盟# 
苹果味小熊糖,0,0,0,S赛押了7场，对了3场，赢了92.7个硬币，其中光是最后一天TES vs GAM的小组赛就贡献了41.7个。笑…… 
离夏梦醒,0,0,0,#2022KPL夏季赛# 快来为喜欢的战队加油，我已为长沙TES.A加油！2022KPL夏季赛战队榜 
玩加电竞LOL,17,69,377,【NEST2022英雄联盟线上预选赛选手大名单】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#NEST2022# #FPX一队出战NEST# 
英雄联盟菌,58,91,797,【LPL选手合同到期一览：RNG、EDG以及TES关键选手合同今年到期】RNG：除了夏季赛转会过来的上单Breathe选手合同到期时间未知以外，其余四人包括替补辅助合同皆今年到期。EDG：Junjia合同到期时间未知，Jiejie合同于明年到期，其余四名选手Meiko、Scout、Flandre以及Viper的合同都在今年到期。TES ...全文
叶栖迟迟迟,0,1,0,tes48饭堂改地址转jkl少年名扬mark未凉wayward狂啸因为是囤发所以只能三个一起转，加邮一共是130.39 
游戏亚小索,32,37,274,端游加入这规则TES不是无敌？#英雄联盟# #s12半决赛# 
电竞小小徐,1,7,10,网友提问：S12对TES打野Tian 该怎么惩罚？#英雄联盟# #英雄联盟S12# 
可爱顺毛,0,4,1,"lng,wbg,tes,茗子你三选一吧 "
吃瓜的空白,4,14,196,网友投稿：RNG续约小虎，以小虎为核心进行队伍的组建。Jackeylove点名签Ming，而且TES还在接触Rookie，补强中辅。#2022LOL冬季转会期##英雄联盟##S12竞燃有我# 
游戏赛事君,71,75,690,英雄联盟冬季转会期还未开始，目前LPL赛区已经流言漫天。今日电竞爆料人更博透露，表示TES战队中单选手Knight今年的身价掉到去年的一半。#英雄联盟S12# #2022全球总决赛# 
英雄联盟神吐槽,36,410,2245,【评选2022LPL年度最佳阵容，RNG三人当选，TES、EDG颗粒无收！】网友评选今年的年度最佳阵容:当选的分别是上单369，打野Kanavi、中单Xiaohu、下路Gala、辅助Ming。#xiaohu##2022LPL年度最佳阵容##一起看S12决赛# 
游戏红人社,33,27,42,前V5教练在微博评论区回复粉丝提问：刘青松和林炜翔正常同事关系，没有决裂；TES几个人关系真的很好。#英雄联盟# #英雄联盟S12# 
游戏发现君,0,0,0,#2022全球总决赛#娃娃米勒激情锐评：如果DRX夺冠，TES就是2.5冠军 游戏发现君的微博视频 
解说阿九,0,65,23,LPL转会期又爆瓜：TES疑似下批7000w，让郭皓去买选手，中单目前计划买Rookie，RNG改名为Dyg。#英雄联盟# #英雄联盟S12# 
一天只吃九碗饭_,0,0,0,tes48饭堂 出lpl选手卡 
